Day,Start Time,Duration,Weeks,Module,Type,Activity Code,Activity Name,Room,Staff
Wednesday,12:30,1 hour,"5-9, 11-12",CSC3095/L01/01,Lecture,CSC3095/L01/01,Project and Dissertation in Computing Science,USB.1.006,Marshall LF Dr & Devlin M Dr
Wednesday,10:30,3 hours,"28-30, 35-37","CSC3622/L01/01 <28-30, 35-37>",Lecture,"CSC3622/L01/01 <28-30, 35-37>",Reliability and Fault Tolerance,USB.4.005 SR,Romanovsky A Professor
Wednesday,10:30,3 hours,22,CSC3622/L01/01 <22>,Lecture,CSC3622/L01/01 <22>,Reliability and Fault Tolerance,USB.4.005 SR,Romanovsky A Professor & Anderson T Professor
Wednesday,10:30,3 hours,23-27,CSC3622/L01/01 <23-27>,Lecture,CSC3622/L01/01 <23-27>,Reliability and Fault Tolerance,USB.4.005 SR,Anderson T Professor
Wednesday,10:30,5.5 hours,36,CSC3095/P02/01,Practical,CSC3095/P02/01,Project and Dissertation in Computing Science,USB.G.003,Marshall LF Dr & Devlin M Dr
Wednesday,14:30,3 hours,37,CSC3224/P01/01,Practical,CSC3224/P01/01,Computer Games Development,USB.3.015 (B),Davison RG Dr
Wednesday,09:30,1 hour,"5-9, 11-14, 19",CSC3121/L01/01,Lecture,CSC3121/L01/01,Distributed Systems,USB.4.005 SR,Ezhilchelvan PD Dr
Wednesday,10:30,1 hour,"5-9, 11-14, 19",CSC3121/L02/01,Lecture,CSC3121/L02/01,Distributed Systems,USB.4.005 SR,Ezhilchelvan PD Dr
Wednesday,11:30,1 hour,"5-9, 11-14, 19","CSC3121/L03/01 <5-9, 11-14, 19>",Lecture,"CSC3121/L03/01 <5-9, 11-14, 19>",Distributed Systems,USB.4.005 SR,Ezhilchelvan PD Dr
Wednesday,11:00,1.5 hours,15,CSC3121/L03/01 <15>,Lecture,CSC3121/L03/01 <15>,Distributed Systems,USB.4.005 SR,Ezhilchelvan PD Dr
Thursday,09:30,1 hour,"5-9, 11-15, 19",CSC3324/L01/01,Lecture,CSC3324/L01/01,Understanding Concurrency,USB.4.005 SR,Khomenko VV Dr
Thursday,10:30,1 hour,"5-9, 11-15, 19",CSC3324/L02/01,Lecture,CSC3324/L02/01,Understanding Concurrency,USB.4.005 SR,Khomenko VV Dr
Thursday,11:30,1 hour,"5-15, 19",CSC3324/P01/01,Practical,CSC3324/P01/01,Understanding Concurrency,USB.3.005 (A),Khomenko VV Dr
Thursday,09:30,1 hour,"22-30, 35-37",CSC3224/L01/01,Lecture,CSC3224/L01/01,Computer Games Development,USB.1.006,Davison RG Dr
Thursday,10:30,2 hours,"22-30, 35-36",CSC3224/P01/01,Practical,CSC3224/P01/01,Computer Games Development,USB.3.005 (A),Davison RG Dr
Thursday,13:30,3 hours,"22-30, 35-37",CSC3122/L01/01,Lecture,CSC3122/L01/01,Mobile Computer Systems Development,USB.1.006,Marshall LF Dr
Thursday,09:30,1 hour,"5-9, 11-15, 19",CSC3721/L01/01,Lecture,CSC3721/L01/01,Introduction to Human-Computer Interaction,USB.1.006,Kharrufa ANS Dr
Thursday,10:30,1 hour,"5-9, 11-15, 19",CSC3721/P01/01,Practical,CSC3721/P01/01,Introduction to Human-Computer Interaction,USB.3.015 (B),Kharrufa ANS Dr
Thursday,14:30,1 hour,"5-9, 11-15, 19",CSC3123/L01/01,Lecture,CSC3123/L01/01,Internet Technology,USB.1.006,Marshall LF Dr
Thursday,15:30,1 hour,"5-9, 11-15, 19",CSC3123/L02/01,Lecture,CSC3123/L02/01,Internet Technology,USB.1.006,Marshall LF Dr
Thursday,16:30,1 hour,"5-9, 11-15, 19",CSC3123/P01/01,Practical,CSC3123/P01/01,Internet Technology,USB.3.005 (A) & USB.3.018 (C),Marshall LF Dr
Thursday,11:30,1 hour,"5-9, 11-15, 19",CSC3721/P01/02,Practical,CSC3721/P01/02,Introduction to Human-Computer Interaction,USB.3.015 (B),Kharrufa ANS Dr
Friday,09:30,1 hour,"5-9, 11-15, 19",CSC3221/L01/01,Lecture,CSC3221/L01/01,Programming for Games,USB.1.006,Speirs NA Dr
Friday,10:30,1 hour,"5-15, 19",CSC3221/P01/01,Practical,CSC3221/P01/01,Programming for Games,USB.3.015 (B),Speirs NA Dr
Friday,11:30,1 hour,"5-15, 19",CSC3221/P02/01,Practical,CSC3221/P02/01,Programming for Games,USB.3.015 (B),Speirs NA Dr
Friday,09:30,1 hour,"22-30, 35-37",CSC3222/L01/01,Lecture,CSC3222/L01/01,Gaming Simulations,USB.1.006,Davison RG Dr
Friday,10:30,1 hour,"22-30, 35-37",CSC3222/P01/01,Practical,CSC3222/P01/01,Gaming Simulations,USB.3.005 (A),Davison RG Dr
Friday,11:30,1 hour,"22-30, 35-37",CSC3222/P02/01,Practical,CSC3222/P02/01,Gaming Simulations,USB.3.005 (A),Davison RG Dr
Friday,13:30,2 hours,"5-8, 10-15, 19",CSC3422/L01/01,Lecture,CSC3422/L01/01,Website Construction and Management,USB.4.005 SR,Heels LE Miss
Friday,15:30,1 hour,"5-15, 19",CSC3422/P01/01,Practical,CSC3422/P01/01,Website Construction and Management (Server-side),USB.3.015 (B),Heels LE Miss
Friday,16:30,1 hour,"5-15, 19",CSC3422/P01/02,Practical,CSC3422/P01/02,Website Construction and Management (Server-side),USB.3.015 (B),Heels LE Miss
Friday,13:30,3 hours,"22-26, 28-30, 35-37","CSC3321/L01/01 <22-26, 28-30, 35-37>",Lecture,"CSC3321/L01/01 <22-26, 28-30, 35-37>",Understanding Programming Languages,USB.2.022 SR,Freitas LJS Dr
Friday,13:30,3 hours,27,CSC3321/L01/01 <27>,Lecture,CSC3321/L01/01 <27>,Understanding Programming Languages,USB.1.006,Freitas LJS Dr
Friday,15:30,2 hours,"22-25, 27-29, 35-37","CSC3722/P01/01 <22-25, 27-29, 35-37>",Practical,"CSC3722/P01/01 <22-25, 27-29, 35-37>",Advanced Interaction Design,USB.3.005 (A),Kharrufa ANS Dr
Friday,15:30,2 hours,30,CSC3722/P01/01 <30>,Practical,CSC3722/P01/01 <30>,Advanced Interaction Design,USB.4.005 SR,Kharrufa ANS Dr
Friday,13:30,2 hours,"22-25, 27-29, 35-37","CSC3722/L01/01 <22-25, 27-29, 35-37>",Lecture,"CSC3722/L01/01 <22-25, 27-29, 35-37>",Advanced Interaction Design,USB.4.005 SR,Kharrufa ANS Dr
Friday,13:30,2 hours,30,CSC3722/L01/01 <30>,Lecture,CSC3722/L01/01 <30>,Advanced Interaction Design,,Kharrufa ANS Dr
,0,,,,,,,,
